"","status","age_min","age_max","admin2guid","vaccine_type","activity_parent_code","date"
"138","Done",0,60,450,"f-IPV",109,"2023-11-04"
"139","Done",0,60,259,"bOPV",22,"2022-05-13"
"140","Done",0,60,370,"nOPV2",90,"2020-10-16"
"141","Done",0,60,120,"bOPV",77,"2021-12-08"
"142","Done",0,60,772,"nOPV2",19,"2018-06-26"
"143","Done",0,60,527,"nOPV2",90,"2018-11-03"
"144","Done",0,60,137,"bOPV",51,"2022-01-22"
"145","Done",0,60,95,"bOPV",106,"2024-03-02"
"146","Done",0,60,303,"IPV + bOPV",10,"2017-04-21"
"147","Done",0,60,96,"nOPV2",84,"2020-02-01"
"148","Done",0,60,187,"nOPV2",64,"2019-07-29"
"149","Done",0,60,762,"mOPV2",102,"2022-01-22"
"150","Done",0,60,649,"nOPV2",106,"2018-11-03"
"151","Done",0,60,538,"bOPV",77,"2017-03-25"
"152","Done",0,60,634,"nOPV2",110,"2018-06-26"
"153","Done",0,60,492,"nOPV2",18,"2021-09-24"
"154","Done",0,60,424,"nOPV2",14,"2019-07-29"
"155","Done",0,60,534,"bOPV",93,"2018-12-08"
"156","Done",0,60,242,"bOPV",91,"2023-07-16"
"157","Done",0,60,116,"f-IPV",47,"2021-10-08"
"158","Done",0,60,57,"mOPV2",92,"2019-01-26"
"159","Done",0,60,44,"bOPV",18,"2024-03-02"
"160","Done",0,60,443,"nOPV2",94,"2023-11-04"
"161","Done",0,60,345,"bOPV",91,"2019-12-01"
"162","Done",0,60,105,"nOPV2",68,"2021-05-07"
"163","Done",0,60,622,"bOPV",18,"2016-12-16"
"164","Done",0,60,340,"f-IPV",82,"2022-01-22"
"165","Done",0,60,387,"IPV",38,"2021-05-07"
"166","Done",0,60,635,"nOPV2",109,"2017-04-21"
"167","Done",0,60,347,"nOPV2",91,"2019-07-12"
"168","Done",0,60,46,"bOPV",109,"2016-12-16"
"169","Done",0,60,472,"mOPV2",43,"2016-11-12"
"170","Done",0,60,547,"mOPV2",44,"2016-12-03"
"171","Done",0,60,39,"bOPV",16,"2018-11-03"
"172","Done",0,60,215,"bOPV",103,"2023-11-04"
"173","Done",0,60,214,"bOPV",14,"2019-07-12"
"174","Done",0,60,626,"nOPV2",89,"2022-05-13"
"175","Done",0,60,249,"mOPV2",25,"2021-08-06"
"176","Done",0,60,238,"mOPV2",83,"2017-02-25"
"177","Done",0,60,189,"IPV + bOPV",108,"2021-12-08"
"178","Done",0,60,335,"f-IPV",12,"2017-10-13"
"179","Done",0,60,558,"nOPV2",103,"2019-07-29"
"180","Done",0,60,135,"nOPV2",42,"2018-10-05"
"181","Done",0,60,379,"bOPV",22,"2016-09-16"
"182","Done",0,60,225,"nOPV2",99,"2016-09-16"
"183","Done",0,60,723,"bOPV",44,"2023-09-29"
"184","Done",0,60,644,"bOPV",111,"2018-01-20"
"185","Done",0,60,434,"bOPV",91,"2022-01-22"
"186","Done",0,60,215,"mOPV2",14,"2023-07-16"
"187","Done",0,60,242,"nOPV2",77,"2022-01-22"
"188","Done",0,60,313,"bOPV",94,"2019-07-26"
"189","Done",0,60,202,"bOPV",55,"2019-07-29"
"190","Done",0,60,628,"bOPV",90,"2016-05-13"
"191","Done",0,59,552,"nOPV2",111,"2019-12-01"
"192","Done",0,60,549,"mOPV2",111,"2018-12-08"
"193","Done",0,60,449,"bOPV",106,"2018-06-26"
"194","Done",0,60,20,"f-IPV",95,"2022-03-26"
"195","Done",0,60,67,"bOPV",68,"2017-10-13"
"196","Done",0,60,500,"bOPV",25,"2018-06-26"
"197","Done",0,60,231,"bOPV",109,"2022-05-13"
"198","Done",0,60,723,"f-IPV",110,"2022-05-13"
"199","Done",0,60,402,"nOPV2",93,"2017-01-28"
"200","Done",0,60,325,"nOPV2",81,"2023-10-13"
"201","Done",0,60,8,"mOPV2",111,"2021-06-18"
"202","Done",0,60,528,"bOPV",77,"2018-06-26"
"203","Done",0,60,753,"bOPV",47,"2018-06-26"
"204","Done",0,60,636,"bOPV",51,"2023-09-29"
"205","Done",0,60,317,"bOPV",110,"2016-12-03"
"206","Done",0,60,86,"bOPV",26,"2019-12-01"
"207","Done",0,60,693,"bOPV",44,"2016-09-16"
"208","Done",0,60,495,"bOPV",68,"2023-11-04"
"209","Done",0,60,123,"nOPV2",91,"2019-07-29"
"210","Done",0,60,611,"bOPV",110,"2020-02-01"
"211","Done",0,60,735,"f-IPV",83,"2016-12-03"
"212","Done",0,60,272,"bOPV",54,"2017-03-25"
"213","Done",0,60,419,"nOPV2",39,"2017-04-21"
"214","Done",0,60,618,"nOPV2",38,"2021-12-08"
"215","Done",0,60,494,"bOPV",44,"2018-08-31"
"216","Done",0,60,316,"bOPV",13,"2019-07-29"
"217","Done",0,59,211,"mOPV2",38,"2023-11-04"
"218","Done",0,60,443,"bOPV",16,"2016-09-16"
"219","Done",0,60,204,"nOPV2",20,"2017-10-13"
"220","Done",0,60,159,"bOPV",1,"2016-09-16"
"221","Done",0,60,270,"bOPV",12,"2021-03-13"
"222","Done",0,60,604,"nOPV2",68,"2016-11-12"
"223","Done",0,60,671,"bOPV",94,"2023-09-29"
"224","Done",0,60,732,"nOPV2",38,"2018-04-06"
"225","Done",0,60,719,"nOPV2",16,"2021-09-03"
"226","Done",0,60,70,"bOPV",77,"2017-10-13"
"227","Done",0,60,288,"bOPV",77,"2018-11-03"
"228","Done",0,60,270,"nOPV2",110,"2022-12-17"
"229","Done",0,60,625,"mOPV2",47,"2023-09-29"
"230","Done",0,60,73,"nOPV2",47,"2019-07-29"
"231","Done",0,60,244,"nOPV2",77,"2019-10-16"
"232","Done",0,59,485,"bOPV",20,"2018-04-06"
"233","Done",0,60,712,"bOPV",38,"2022-09-30"
"234","Done",0,60,267,"f-IPV",90,"2018-06-26"
"235","Done",0,60,368,"bOPV",88,"2018-04-06"
"236","Done",0,60,664,"mOPV2",17,"2018-06-26"
"237","Done",0,60,14,"nOPV2",12,"2018-11-01"
"238","Done",0,60,300,"f-IPV",94,"2019-12-01"
"239","Done",0,60,500,"mOPV2",21,"2020-02-01"
"240","Done",2,60,125,"bOPV",91,"2019-01-26"
"241","Done",0,60,476,"bOPV",55,"2016-10-14"
"242","Done",0,60,556,"mOPV2",18,"2023-01-20"
"243","Done",0,60,387,"bOPV",81,"2019-07-29"
"244","Done",0,60,680,"nOPV2",68,"2023-09-29"
"245","Done",0,60,693,"mOPV2",95,"2019-12-01"
"246","Done",0,60,172,"bOPV",1,"2018-10-05"
"247","Done",0,60,88,"bOPV",13,"2018-04-06"
"248","Done",0,60,494,"mOPV2",109,"2023-11-04"
"249","Done",0,60,752,"bOPV",111,"2023-12-14"
"250","Done",0,60,496,"nOPV2",44,"2021-05-07"
"251","Done",0,60,26,"nOPV2",56,"2019-01-26"
"252","Done",0,60,26,"nOPV2",68,"2021-06-25"
"253","Done",0,60,110,"bOPV",26,"2017-02-25"
"254","Done",0,60,280,"nOPV2",112,"2023-07-16"
"255","Done",0,60,760,"mOPV2",27,"2018-11-03"
"256","Done",0,60,550,"nOPV2",91,"2022-05-13"
"257","Done",0,60,561,"nOPV2",107,"2023-11-04"
"258","Done",0,60,272,"bOPV",111,"2018-04-06"
"259","Done",0,60,65,"bOPV",26,"2016-12-16"
"260","Done",0,60,310,"bOPV",42,"2021-04-23"
"261","Done",0,60,24,"nOPV2",48,"2016-09-16"
"262","Done",0,60,142,"nOPV2",17,"2017-04-21"
"263","Done",0,60,420,"nOPV2",43,"2017-01-28"
"264","Done",0,60,211,"bOPV",98,"2023-05-12"
"265","Done",0,60,522,"bOPV",93,"2016-10-14"
"266","Done",0,60,45,"nOPV2",55,"2022-05-13"
"267","Done",0,60,165,"nOPV2",51,"2023-11-04"
"268","Done",0,60,244,"bOPV",25,"2017-06-30"
"269","Done",0,60,93,"bOPV",48,"2022-01-22"
"270","Done",0,60,215,"nOPV2",27,"2016-11-12"
"271","Done",0,60,228,"nOPV2",38,"2017-11-04"
"272","Done",0,60,639,"nOPV2",47,"2018-10-05"
"273","Done",0,60,338,"nOPV2",92,"2023-12-14"
"274","Done",0,59,73,"nOPV2",109,"2019-04-26"
"275","Done",0,60,668,"bOPV",78,"2021-09-03"
"276","Done",0,60,116,"bOPV",28,"2020-02-01"
"277","Done",0,60,539,"nOPV2",55,"2024-03-02"
"278","Done",0,60,645,"bOPV",78,"2019-07-29"
"279","Done",2,60,584,"nOPV2",93,"2023-09-29"
"280","Done",0,60,287,"bOPV",23,"2022-01-22"
"281","Done",0,60,690,"mOPV2",26,"2017-02-25"
"282","Done",0,60,313,"bOPV",90,"2018-10-05"
"283","Done",0,60,404,"bOPV",45,"2019-01-26"
"284","Done",0,60,598,"mOPV2",17,"2019-07-12"
"285","Done",0,60,691,"bOPV",47,"2022-01-22"
"286","Done",0,60,594,"bOPV",92,"2016-09-16"
"287","Done",0,60,702,"nOPV2",17,"2019-03-16"
"288","Done",0,60,420,"nOPV2",109,"2019-07-12"
"289","Done",0,60,650,"bOPV",47,"2016-10-14"
"290","Done",0,60,464,"bOPV",13,"2021-12-08"
"291","Done",0,60,427,"nOPV2",13,"2018-11-03"
"292","Done",0,60,731,"nOPV2",112,"2021-05-07"
"293","Done",0,60,390,"f-IPV",95,"2019-11-30"
"294","Done",0,60,719,"f-IPV",99,"2016-11-12"
"295","Done",0,60,402,"nOPV2",64,"2019-07-29"
"296","Done",0,60,161,"nOPV2",38,"2022-05-13"
"297","Done",0,60,584,"nOPV2",110,"2021-07-16"
"298","Done",0,60,750,"bOPV",109,"2021-05-07"
"299","Done",0,60,527,"IPV",14,"2018-01-20"
"300","Done",0,60,126,"nOPV2",68,"2018-12-08"
"301","Done",0,60,82,"nOPV2",17,"2018-06-26"
"302","Done",0,60,221,"nOPV2",48,"2017-04-21"
"303","Done",0,60,430,"nOPV2",91,"2017-04-21"
"304","Done",0,60,627,"f-IPV",55,"2022-05-13"
"305","Done",0,60,714,"nOPV2",13,"2024-03-02"
"306","Done",0,60,594,"bOPV",82,"2019-07-29"
"307","Done",0,60,539,"nOPV2",48,"2019-01-26"
"308","Done",0,60,628,"nOPV2",46,"2023-09-29"
"309","Done",0,60,115,"nOPV2",38,"2019-07-29"
"310","Done",0,60,647,"bOPV",86,"2021-05-07"
"311","Done",0,60,23,"bOPV",107,"2016-06-10"
"312","Done",0,60,506,"nOPV2",77,"2023-11-04"
"313","Done",0,60,556,"nOPV2",12,"2022-01-22"
"314","Done",0,60,126,"bOPV",22,"2023-10-13"
"315","Done",0,60,343,"bOPV",106,"2023-10-13"
"316","Done",0,60,464,"bOPV",11,"2016-10-14"
"317","Done",0,60,303,"bOPV",38,"2016-09-16"
"318","Done",0,60,483,"nOPV2",111,"2019-07-12"
"319","Done",0,60,763,"bOPV",64,"2018-11-03"
"320","Done",0,60,661,"bOPV",55,"2017-03-25"
"321","Done",0,60,381,"bOPV",106,"2016-11-12"
"322","Done",0,60,602,"bOPV",64,"2017-06-30"
"323","Done",0,60,388,"bOPV",77,"2019-01-26"
"324","Done",0,60,747,"bOPV",38,"2022-03-26"
"325","Done",0,60,745,"mOPV2",54,"2022-01-22"
"326","Done",0,60,488,"bOPV",22,"2021-05-07"
"327","Done",0,60,83,"bOPV",94,"2023-09-29"
"328","Done",0,60,737,"bOPV",18,"2017-03-25"
"329","Done",0,60,405,"mOPV2",14,"2021-08-06"
"330","Done",0,60,129,"bOPV",85,"2020-02-22"
"331","Done",0,60,306,"bOPV",19,"2023-12-14"
"332","Done",0,60,294,"bOPV",42,"2019-07-29"
"333","Done",0,60,392,"bOPV",51,"2018-06-26"
"334","Done",0,60,768,"bOPV",45,"2022-01-22"
"335","Done",0,35,681,"nOPV2",52,"2022-01-22"
"336","Done",0,60,153,"bOPV",91,"2021-09-03"
"337","Done",0,60,160,"nOPV2",93,"2016-10-14"
"338","Done",0,60,10,"nOPV2",22,"2021-06-25"
"339","Done",0,59,409,"f-IPV",1,"2022-03-26"
"340","Done",0,60,683,"nOPV2",2,"2021-12-08"
"341","Done",0,60,18,"nOPV2",91,"2018-04-06"
"342","Done",0,60,645,"nOPV2",47,"2017-04-21"
"343","Done",0,60,473,"nOPV2",55,"2018-12-08"
"344","Done",0,60,581,"nOPV2",51,"2018-06-26"
"345","Done",0,60,702,"bOPV",95,"2019-07-29"
"346","Done",0,59,357,"bOPV",44,"2017-01-28"
"347","Done",0,60,654,"nOPV2",68,"2016-06-24"
"348","Done",0,60,713,"nOPV2",11,"2023-10-13"
"349","Done",0,60,491,"nOPV2",85,"2016-11-12"
"350","Done",0,60,371,"bOPV",19,"2020-02-01"
"351","Done",0,60,203,"IPV + bOPV",19,"2023-10-13"
"352","Done",0,60,365,"nOPV2",65,"2016-10-14"
"353","Done",0,60,10,"bOPV",91,"2022-01-22"
"354","Done",0,35,165,"bOPV",11,"2019-06-14"
"355","Done",0,60,11,"bOPV",91,"2023-01-20"
"356","Done",0,60,711,"nOPV2",97,"2023-11-04"
"357","Done",0,60,307,"nOPV2",27,"2017-05-26"
"358","Done",0,60,314,"bOPV",82,"2021-05-07"
"359","Done",0,60,230,"bOPV",94,"2017-11-04"
"360","Done",0,60,69,"bOPV",17,"2018-12-08"
"361","Done",0,60,738,"nOPV2",111,"2020-02-01"
"362","Done",0,60,605,"IPV + bOPV",47,"2019-07-29"
"363","Done",0,60,649,"bOPV",48,"2017-02-25"
"364","Done",0,60,636,"nOPV2",102,"2018-06-26"
"365","Done",0,60,273,"bOPV",89,"2020-02-01"
"366","Done",0,60,107,"bOPV",26,"2023-05-12"
"367","Done",0,60,173,"bOPV",95,"2023-05-12"
"368","Done",0,60,408,"nOPV2",107,"2021-07-16"
"369","Done",0,60,744,"nOPV2",95,"2018-04-06"
"370","Done",0,60,713,"bOPV",41,"2018-04-06"
"371","Done",0,60,703,"bOPV",68,"2023-11-04"
"372","Done",0,60,366,"nOPV2",18,"2023-10-13"
"373","Done",0,60,193,"bOPV",106,"2021-03-13"
"374","Done",0,60,193,"bOPV",26,"2016-12-03"
"375","Done",0,60,394,"nOPV2",82,"2022-12-17"
"376","Done",0,60,3,"nOPV2",103,"2016-10-14"
"377","Done",0,60,386,"nOPV2",112,"2017-04-21"
"378","Done",0,60,139,"bOPV",109,"2021-10-08"
"379","Done",0,60,103,"nOPV2",110,"2022-05-13"
"380","Done",0,60,745,"nOPV2",91,"2019-07-29"
"381","Done",0,60,500,"nOPV2",16,"2016-09-16"
"382","Done",0,60,572,"nOPV2",27,"2022-03-26"
"383","Done",0,60,98,"mOPV2",43,"2021-12-08"
"384","Done",0,60,643,"bOPV",38,"2021-05-07"
"385","Done",0,60,628,"mOPV2",20,"2023-01-20"
"386","Done",0,60,78,"nOPV2",45,"2017-04-21"
"387","Done",0,60,697,"nOPV2",91,"2021-05-07"
"388","Done",0,60,129,"bOPV",16,"2018-08-31"
"389","Done",0,60,549,"nOPV2",111,"2017-06-30"
"390","Done",0,60,125,"nOPV2",55,"2019-07-29"
"391","Done",0,60,716,"bOPV",38,"2016-12-16"
"392","Done",0,60,529,"nOPV2",17,"2016-12-03"
"393","Done",0,59,334,"mOPV2",110,"2017-01-28"
"394","Done",0,60,30,"f-IPV",25,"2020-02-01"
"395","Done",0,60,483,"bOPV",17,"2022-05-13"
"396","Done",0,60,695,"bOPV",18,"2023-07-16"
"397","Done",0,60,357,"nOPV2",38,"2023-07-16"
"398","Done",0,59,201,"mOPV2",112,"2018-01-20"
"399","Done",0,60,90,"nOPV2",18,"2023-07-16"
"400","Done",0,60,713,"nOPV2",10,"2019-07-29"
"401","Done",0,60,267,"bOPV",55,"2019-05-03"
"402","Done",0,60,230,"IPV + bOPV",95,"2021-05-07"
"403","Done",0,60,28,"nOPV2",2,"2019-07-12"
"404","Done",2,60,672,"bOPV",14,"2022-12-17"
"405","Done",0,60,78,"bOPV",95,"2017-06-30"
"406","Done",0,60,68,"nOPV2",12,"2019-05-24"
"407","Done",0,60,526,"bOPV",55,"2019-08-13"
"408","Done",0,60,528,"bOPV",18,"2019-07-29"
"409","Done",0,60,631,"bOPV",92,"2022-03-26"
"410","Done",0,60,381,"bOPV",17,"2021-06-18"
"411","Done",0,60,622,"nOPV2",112,"2021-06-25"
"412","Done",0,60,566,"nOPV2",16,"2017-04-21"
"413","Done",0,60,490,"mOPV2",12,"2022-12-17"
"414","Done",0,60,41,"nOPV2",1,"2022-05-13"
"415","Done",0,60,354,"nOPV2",109,"2016-09-16"
"416","Done",0,60,419,"bOPV",20,"2016-09-16"
"417","Done",0,60,736,"mOPV2",42,"2017-04-21"
"418","Done",0,60,291,"nOPV2",1,"2016-07-08"
"419","Done",0,60,683,"bOPV",65,"2019-07-12"
"420","Done",0,60,538,"bOPV",51,"2019-07-29"
"421","Done",0,60,687,"bOPV",23,"2016-12-03"
"422","Done",0,60,452,"bOPV",102,"2022-01-22"
"423","Done",0,60,359,"bOPV",22,"2023-11-04"
"424","Done",0,60,585,"f-IPV",43,"2019-07-12"
"425","Done",0,60,685,"nOPV2",13,"2022-03-26"
"426","Done",0,60,162,"bOPV",68,"2017-06-30"
"427","Done",0,60,379,"nOPV2",86,"2022-03-26"
"428","Done",0,60,504,"IPV + bOPV",109,"2020-02-01"
"429","Done",0,60,531,"nOPV2",42,"2016-09-16"
"430","Done",0,60,128,"bOPV",110,"2022-05-13"
"431","Done",0,60,746,"bOPV",65,"2019-02-09"
"432","Done",0,60,76,"nOPV2",38,"2021-05-07"
"433","Done",0,60,242,"IPV + bOPV",91,"2023-07-16"
"434","Done",0,60,523,"bOPV",77,"2021-06-25"
"435","Done",0,60,117,"nOPV2",11,"2016-12-03"
"436","Done",0,60,366,"nOPV2",89,"2023-09-29"
"437","Done",0,60,682,"nOPV2",106,"2022-09-02"
"438","Done",0,60,518,"bOPV",94,"2023-11-04"
"439","Done",0,60,697,"bOPV",105,"2017-10-13"
"440","Done",0,60,213,"nOPV2",110,"2017-11-04"
"441","Done",0,60,702,"bOPV",44,"2022-05-13"
"442","Done",0,60,480,"f-IPV",91,"2022-01-22"
"443","Done",0,60,23,"bOPV",51,"2020-10-16"
"444","Done",0,60,388,"bOPV",88,"2016-05-13"
"445","Done",0,60,434,"nOPV2",48,"2019-01-26"
"446","Done",0,60,296,"nOPV2",38,"2019-01-26"
"447","Done",0,60,118,"nOPV2",44,"2017-04-21"
"448","Done",0,60,361,"nOPV2",13,"2016-10-14"
"449","Done",0,60,696,"mOPV2",110,"2019-07-12"
"450","Done",0,60,656,"f-IPV",90,"2021-05-07"
"451","Done",0,59,160,"nOPV2",26,"2016-11-12"
"452","Done",0,60,627,"f-IPV",25,"2022-10-07"
"453","Done",0,60,771,"bOPV",16,"2016-05-13"
"454","Done",0,60,90,"bOPV",11,"2017-01-28"
"455","Done",0,60,346,"bOPV",63,"2017-06-30"
"456","Done",0,60,163,"mOPV2",93,"2020-02-01"
"457","Done",0,60,364,"nOPV2",68,"2019-07-29"
"458","Done",0,60,661,"nOPV2",91,"2023-12-14"
"459","Done",0,60,743,"nOPV2",94,"2017-03-25"
"460","Done",0,59,606,"mOPV2",77,"2022-07-01"
"461","Done",0,60,593,"bOPV",52,"2018-12-08"
"462","Done",0,60,282,"bOPV",55,"2019-05-03"
"463","Done",0,60,339,"IPV + bOPV",22,"2018-04-06"
"464","Done",0,59,472,"bOPV",97,"2016-06-24"
"465","Done",0,60,45,"nOPV2",95,"2023-05-12"
"466","Done",0,60,657,"nOPV2",26,"2019-07-29"
"467","Done",0,59,528,"bOPV",47,"2022-05-13"
"468","Done",0,59,266,"bOPV",38,"2020-02-01"
"469","Done",0,60,117,"nOPV2",97,"2019-12-01"
"470","Done",0,60,291,"bOPV",111,"2018-01-20"
